model,gpu,framework,precision,gpu_count,isl,osl,concurrency,rows,output_p50_tok_s_mw,output_p10_tok_s_mw,output_p90_tok_s_mw,input_p50_tok_s_mw,total_p50_tok_s_mw,median_tpot_ms,median_ttft_ms,power_w_p50,kv_pressure_proxy_isl_x_concurrency,decode_work_proxy_osl_x_concurrency,baseline_1024_1024_output_p50_tok_s_mw,realization_vs_same_config_1024_1024
dsr1,b200,sglang,fp4,8,1024,1024,16,21,69740.109943,68855.085498,73736.617463,73579.188903,140222.62704,0.012303,0.427817,2170.0,16384.0,16384.0,69740.109943,1.0
dsr1,b200,sglang,fp4,8,1024,8192,16,19,73174.591903,71105.653598,73306.069803,9096.490501,82259.965831,0.012449,0.372534,2170.0,16384.0,131072.0,69740.109943,1.049247
dsr1,b200,sglang,fp4,8,8192,1024,16,20,50202.951475,30370.011463,50504.835638,404377.966361,453365.293621,0.016105,0.55933,2170.0,131072.0,16384.0,69740.109943,0.719858
dsr1,b200,sglang,fp4,8,1024,1024,32,23,106903.311513,65548.087281,107757.255924,107098.557568,214001.869081,0.01516,0.388968,2170.0,32768.0,32768.0,106903.311513,1.0
dsr1,b200,sglang,fp4,8,1024,8192,32,18,118599.543922,113962.175194,121861.084228,14814.687008,133407.77134,0.014814,0.47827,2170.0,32768.0,262144.0,106903.311513,1.109409
dsr1,b200,sglang,fp4,8,8192,1024,32,14,76845.222937,72875.547581,77104.114153,616515.521991,693458.099118,0.021629,0.695293,2170.0,262144.0,32768.0,106903.311513,0.718829
dsr1,b200,sglang,fp4,8,1024,1024,4,23,25735.977684,25435.889281,27731.246979,25997.74614,51723.6434,0.008309,0.301572,2170.0,4096.0,4096.0,25735.977684,1.0
dsr1,b200,sglang,fp4,8,1024,8192,4,18,24958.446247,24568.928439,25028.223826,3131.012649,28086.604864,0.009095,0.272615,2170.0,4096.0,32768.0,25735.977684,0.969788
dsr1,b200,sglang,fp4,8,8192,1024,4,20,18371.320708,11901.335128,18477.447586,147157.516011,165528.836719,0.010512,0.363295,2170.0,32768.0,4096.0,25735.977684,0.713838
dsr1,b200,sglang,fp4,8,1024,1024,64,23,170205.256993,109024.105954,171197.998336,170089.476009,340294.733002,0.019572,0.430824,2170.0,65536.0,65536.0,170205.256993,1.0
dsr1,b200,sglang,fp4,8,1024,8192,64,19,192381.743118,183232.754984,206958.723367,24079.106333,216460.849451,0.018418,0.530758,2170.0,65536.0,524288.0,170205.256993,1.130293
dsr1,b200,sglang,fp4,8,8192,1024,64,14,108924.014688,108704.291841,109093.251799,869903.571826,979306.009473,0.031281,0.867971,2170.0,524288.0,65536.0,170205.256993,0.639957
dsr1,b200,sglang,fp4,8,1024,1024,8,22,44837.650382,39020.022076,46864.541739,44598.159652,89435.810034,0.009739,0.312803,2170.0,8192.0,8192.0,44837.650382,1.0
dsr1,b200,sglang,fp4,8,1024,8192,8,19,44260.036942,43633.395144,44695.077814,5552.882271,49812.919212,0.010239,0.261198,2170.0,8192.0,65536.0,44837.650382,0.987118
dsr1,b200,sglang,fp4,8,8192,1024,8,20,31148.418924,21624.369172,31840.959571,251448.201885,278838.162835,0.012588,0.38384,2170.0,65536.0,8192.0,44837.650382,0.694693
dsr1,b200,sglang,fp8,8,1024,1024,16,51,64484.466042,60162.306131,65977.444624,65029.67822,129640.212011,0.013766,0.307072,2170.0,16384.0,16384.0,64484.466042,1.0
dsr1,b200,sglang,fp8,8,1024,8192,16,49,68696.366976,56449.772795,69102.489659,8545.337867,77225.723481,0.013215,0.344908,2170.0,16384.0,131072.0,64484.466042,1.065317
dsr1,b200,sglang,fp8,8,8192,1024,16,46,43741.311069,38761.421356,44305.411142,351760.266021,395012.479414,0.018533,0.742722,2170.0,131072.0,16384.0,64484.466042,0.678323
dsr1,b200,sglang,fp8,8,1024,1024,32,53,100235.567533,96212.153016,102168.374083,101045.549253,200654.203287,0.01777,0.385455,2170.0,32768.0,32768.0,100235.567533,1.0
dsr1,b200,sglang,fp8,8,1024,8192,32,49,104824.764521,95322.364016,105424.643856,13088.809797,117913.08595,0.017248,0.403563,2170.0,32768.0,262144.0,100235.567533,1.045784
dsr1,b200,sglang,fp8,8,8192,1024,32,44,59971.978526,56657.558148,60182.545452,481458.485914,541192.446838,0.027953,1.014651,2170.0,262144.0,32768.0,100235.567533,0.59831
dsr1,b200,sglang,fp8,8,1024,1024,4,51,25340.542297,24753.359007,25898.073836,25423.087785,50712.045926,0.008808,0.142489,2170.0,4096.0,4096.0,25340.542297,1.0
dsr1,b200,sglang,fp8,8,1024,8192,4,50,26096.749605,21799.765728,26298.647294,3274.822829,29391.643798,0.008673,0.149292,2170.0,4096.0,32768.0,25340.542297,1.029842
dsr1,b200,sglang,fp8,8,8192,1024,4,48,21918.026432,18071.257849,22129.115429,175948.990612,197485.280247,0.009866,0.439404,2170.0,32768.0,4096.0,25340.542297,0.864939
dsr1,b200,sglang,fp8,8,1024,1024,64,50,137501.090269,133196.587512,142504.462216,137854.292945,274908.646344,0.024411,0.490029,2170.0,65536.0,65536.0,137501.090269,1.0
dsr1,b200,sglang,fp8,8,1024,8192,64,49,150889.639674,142175.072741,152332.235723,18908.3529,169775.947019,0.023578,0.501644,2170.0,65536.0,524288.0,137501.090269,1.09737
dsr1,b200,sglang,fp8,8,8192,1024,64,47,76045.423409,75038.280936,76349.139504,607951.213012,683703.592366,0.045291,1.374142,2170.0,524288.0,65536.0,137501.090269,0.553053
dsr1,b200,sglang,fp8,8,1024,1024,8,51,41498.266315,40052.761776,42337.750185,41502.300486,82774.878506,0.010779,0.149932,2170.0,8192.0,8192.0,41498.266315,1.0
dsr1,b200,sglang,fp8,8,1024,8192,8,49,43337.682174,36637.196657,43662.309511,5443.093716,48774.845439,0.010438,0.154005,2170.0,8192.0,65536.0,41498.266315,1.044325
dsr1,b200,sglang,fp8,8,8192,1024,8,47,30206.838664,26220.181159,30430.093466,240476.800784,270409.21142,0.013106,0.446467,2170.0,65536.0,8192.0,41498.266315,0.727906
dsr1,b200,trt,fp4,16,1024,1024,128,39,484843.154375,452301.050232,488940.044997,487206.47365,970751.431182,0.029234,0.194906,2170.0,131072.0,131072.0,484843.154375,1.0
dsr1,b200,trt,fp4,16,1024,8192,128,37,473991.228068,471872.757286,475836.736326,59317.642827,533318.985966,0.030541,0.125067,2170.0,131072.0,1048576.0,484843.154375,0.977618
dsr1,b200,trt,fp4,16,8192,1024,128,38,306511.961046,305613.786402,307220.008805,2460703.1098,2767215.070846,0.044934,1.883906,2170.0,1048576.0,131072.0,484843.154375,0.632188
dsr1,b200,trt,fp4,16,8192,1024,16,38,96163.908758,95761.021768,96354.159723,771789.803942,867855.206994,0.018366,0.272813,2170.0,131072.0,16384.0,,
dsr1,b200,trt,fp4,16,1024,1024,256,40,791249.384271,784979.745182,796144.394314,790484.644307,1581734.028578,0.034809,0.824347,2170.0,262144.0,262144.0,791249.384271,1.0
dsr1,b200,trt,fp4,16,1024,8192,256,41,837169.864815,834454.649576,840294.045101,104521.875074,941691.739889,0.033872,2.03866,2170.0,262144.0,2097152.0,791249.384271,1.058035
dsr1,b200,trt,fp4,16,8192,1024,256,40,429599.575679,427881.881102,431712.399907,3435684.95733,3865284.533009,0.064911,2.186625,2170.0,2097152.0,262144.0,791249.384271,0.542938
dsr1,b200,trt,fp4,16,8192,1024,32,41,144831.618217,144388.091209,145344.526058,1150298.82728,1295130.445497,0.024496,0.291054,2170.0,262144.0,32768.0,,
dsr1,b200,trt,fp4,16,8192,1024,4,37,40555.381271,40389.720561,40706.510944,324013.309682,364568.690954,0.010867,0.260334,2170.0,32768.0,4096.0,,
dsr1,b200,trt,fp4,16,1024,1024,64,39,330447.582438,313895.741392,333475.465456,330596.573739,661044.156177,0.021451,0.109962,2170.0,65536.0,65536.0,330447.582438,1.0
dsr1,b200,trt,fp4,16,1024,8192,64,39,321104.706192,318838.141671,323840.001786,40088.652615,361197.537559,0.022478,0.114847,2170.0,65536.0,524288.0,330447.582438,0.971727
dsr1,b200,trt,fp4,16,8192,1024,64,38,204841.60172,203777.741793,206255.766204,1642231.4667,1846396.718139,0.033432,1.65507,2170.0,524288.0,65536.0,330447.582438,0.619891
dsr1,b200,trt,fp4,16,8192,1024,8,36,63526.018245,63356.666192,63734.340897,501567.284614,565093.30286,0.013967,0.270742,2170.0,65536.0,8192.0,,
dsr1,b200,trt,fp4,4,1024,1024,128,15,487971.67973,455760.563332,489206.197875,489225.103342,977015.354759,0.029003,0.1682,2170.0,131072.0,131072.0,487971.67973,1.0
dsr1,b200,trt,fp4,4,1024,8192,128,13,474107.216464,473571.295113,474363.911349,59345.063427,533449.492208,0.030515,0.12481,2170.0,131072.0,1048576.0,487971.67973,0.971588
dsr1,b200,trt,fp4,4,8192,1024,128,13,305803.562648,304639.023189,306777.526369,2455016.02948,2760819.592127,0.044991,1.970785,2170.0,1048576.0,131072.0,487971.67973,0.626683
dsr1,b200,trt,fp4,4,1024,1024,16,53,127082.618349,125420.165123,129271.540693,128548.401317,255518.074327,0.014068,0.103115,2170.0,16384.0,16384.0,127082.618349,1.0
dsr1,b200,trt,fp4,4,1024,8192,16,53,127703.456862,127153.039422,128313.557722,16020.989642,143725.184598,0.014123,0.106256,2170.0,16384.0,131072.0,127082.618349,1.004885
