group,year,n_assets,observations,avg_pair_corr,median_pair_corr,max_pair_corr,min_pair_corr,pc1_share,strong_pair_share,avg_pair_corr_yoy_change,pc1_share_yoy_change
foundry,2023,2,12,-0.3067435925049162,-0.3067435925049162,-0.3067435925049162,-0.3067435925049162,0.6533717962524581,0.0,-0.18773306208410667,0.09386653104205334
NAND,2024,2,12,0.5547629477818138,0.5547629477818138,0.5547629477818138,0.5547629477818138,0.7773814738909068,0.0,-0.24569632177049217,-0.1228481608852462
AI Platforms,2024,9,12,0.5079987116213968,0.5590602586364611,0.7959974429721376,0.04363437265623585,0.5772757053877557,0.2777777777777778,-0.06662090232260709,-0.053093646553104445
HW equipment,2024,14,12,0.49340951569524033,0.5297881831437147,0.8983750894507961,-0.08286578060157983,0.5469217117489023,0.2857142857142857,-0.22695508906235135,-0.19810197578500455
DRAM,2024,3,12,0.48968241706864307,0.5504504915823302,0.6163171312623794,0.3022796283612195,0.6635289740796273,0.0,-0.12346373889600265,-0.07861939826015008
Cooling,2024,4,12,0.4873947169748698,0.5321092877977894,0.7882285866249573,0.02837123507313068,0.6420092616120605,0.3333333333333333,0.05702867061910116,0.05925351335116191
CPU,2024,2,12,0.4072684631630578,0.4072684631630578,0.4072684631630578,0.4072684631630578,0.7036342315815289,0.0,,
Energy,2024,18,12,0.3019843326577043,0.3225278937655657,0.9100636657348078,-0.7457319747091712,0.5601928599153663,0.1895424836601307,-0.022947659287894107,0.14126872569669308
OSAT / packiging,2024,6,12,0.2791118014248198,0.2379654883139546,0.6919897987851334,-0.2239791996799029,0.4136200449520389,0.06666666666666667,-0.1663976183077156,-0.14189663766150756
AI Chip,2024,5,12,0.23603019958343818,0.1079172251828917,0.7660737632065636,-0.20158874332103924,0.46856501213091833,0.3,-0.2905246234602543,-0.17129481826088339
meterier,2024,8,12,0.23287055958059208,0.2805148387897891,0.7724333196727103,-0.3160640151779176,0.41143777785035573,0.07142857142857142,-0.06104238336372744,-0.001156716242755651
components,2024,14,12,0.17824288744767428,0.21039703490598172,0.7535004193411311,-0.7505510533747057,0.3224146993782822,0.04395604395604396,-0.29106972178782375,-0.21015849608375875
foundry,2024,2,12,0.15598597264366312,0.15598597264366312,0.15598597264366312,0.15598597264366312,0.5779929863218315,0.0,0.4627295651485793,-0.07537880993062662
Hyperscalers,2024,6,12,0.14539446633602765,0.1134953786590527,0.6501508871142582,-0.29412297197838155,0.35916913940769973,0.06666666666666667,-0.34874247217717097,-0.2268211821937221
Server OEM/EMS/ODM,2024,21,12,0.142080784964828,0.14807249894799113,0.8635884089028054,-0.5852010700906526,0.24357874132082152,0.047619047619047616,-0.19379832759609605,-0.1751774826117672
Server Networking,2024,14,12,0.0908563653521307,0.1399860545727131,0.8043103281011302,-0.6210654056641215,0.33368041873204163,0.04395604395604396,-0.27038523298622114,-0.12057565174195123
AI Software,2024,2,12,-0.035226875984591524,-0.035226875984591524,-0.035226875984591524,-0.035226875984591524,0.5176134379922958,0.0,-0.5600993198357787,-0.24482278393329782
Neocloud,2025,2,12,0.8878433677020717,0.8878433677020717,0.8878433677020717,0.8878433677020717,0.9439216838510358,1.0,,
HW equipment,2025,14,12,0.692898574147549,0.7307806609302454,0.9283974269624472,0.2205875058580955,0.7235262881997586,0.6703296703296703,0.19948905845230863,0.17660457645085637
DRAM,2025,3,12,0.6366479717710668,0.6124568835388702,0.8638699396919752,0.43361709208235494,0.763448598557636,0.3333333333333333,0.14696555470242373,0.09991962447800873
NAND,2025,3,12,0.6237916299144174,0.5608078064217518,0.875588029569763,0.4349790537517376,0.7559329317702652,0.3333333333333333,0.0690286821326036,-0.021448542120641623
OSAT / packiging,2025,6,12,0.46575460959514525,0.4447386950970375,0.8513799043668289,0.03550503779062338,0.5587280767169586,0.2,0.18664280817032547,0.14510803176491965
