group,ticker,company,member_role,mean_corr_to_group,median_corr_to_group,max_corr_to_peer,strong_link_count,pc1_loading,best_coupled_peer,best_coupled_peer_company,ticker_x,db_ticker_x,financial_year,financial_quarter,financial_period,revenue_usd_m,operating_income_usd_m,net_income_usd_m,db_ticker_y,market_cap_date,market_cap_usd_b,db_ticker,financial_currency,has_financial_metric,fx_rate_local_per_usd,financial_fx_normalized,revenue_usd_m_reported,operating_income_usd_m_reported,net_income_usd_m_reported,mixed_financial_currency,missing_fx_rate,market_cap_usd_b_share_of_group,revenue_usd_m_share_of_group,operating_income_usd_m_share_of_group,net_income_usd_m_share_of_group
Cooling,MOD,Modine Manufacturing,partial / bridge,0.4448463976742691,0.47044492421659756,0.5088848038411465,0,0.44829761943326213,TT,Trane Technologies,MOD,MOD,2025.0,4.0,2025-Q4,805.0,96.8,-47.4,,,,MOD,USD,True,1.0,True,805.0,96.8,-47.4,True,False,,0.06383858524178794,0.07692482346797447,
Cooling,ALFA.ST,Alfa Laval,partial / bridge,0.42439556058012845,0.4557639333079342,0.4622132834673882,0,0.44388364682949616,TT,Trane Technologies,ALFA.ST,ALFA.ST,2025.0,4.0,2025-Q4,1823.4285714285713,288.57142857142856,188.57142857142858,,,,ALFA.ST,SEK,True,10.5,True,19146.0,3030.0,1980.0,True,False,,0.14460260905522293,0.2293213450491565,0.24007420475419677
DRAM,000660.KS,SK hynix,coupling core,0.7921317149114762,0.7921317149114762,0.8156787375567921,2,0.599418524148643,MU,Micron Technology,000660.KS,000660.KS,2025.0,4.0,2025-Q4,23787.429710144927,13890.995652173913,11028.828260869564,,,,000660.KS,KRW,True,1380.0,True,32826653.0,19169574.0,15219783.0,True,False,,0.22562612719748779,0.4017859309926446,0.36460650910474
DRAM,MU,Micron Technology,coupling core,0.7365235037252355,0.7365235037252355,0.8156787375567921,2,0.5725092254665181,000660.KS,SK hynix,MU,MU,2025.0,4.0,2025-Q4,13643.0,6136.0,5240.0,,,,MU,USD,True,1.0,True,13643.0,6136.0,5240.0,True,False,,0.1294052064835958,0.17747888879261461,0.1732312864538342
DRAM,005930.KS,Samsung Electronics,coupling core,0.7129764810799195,0.7129764810799195,0.7685846922661602,2,0.5594020197167594,000660.KS,SK hynix,005930.KS,005930.KS,2025.0,4.0,2025-Q4,67998.09492753624,14546.130434782608,13979.74927536232,,,,005930.KS,KRW,True,1380.0,True,93837371.0,20073660.0,19292054.0,True,False,,0.6449686663189164,0.42073518021474077,0.4621622044414258
Energy,ETN,Eaton,coupling core,0.42044591154506716,0.384995742817409,0.7311329367234445,4,0.32110900560391653,GEV,GE Vernova,ETN,ETN,2025.0,4.0,2025-Q4,7055.0,1386.0,1132.0,,,,ETN,USD,True,1.0,True,7055.0,1386.0,1132.0,True,False,,0.0743591809638479,0.10263343066263461,0.08936964348765816
Energy,ABBN.SW,ABB,coupling core,0.41778518245921453,0.42338940947414655,0.8050997798724084,2,0.26930412834780526,SU.PA,Schneider Electric,ABBN.SW,ABBN.SW,2025.0,4.0,2025-Q4,10286.363636363636,1727.2727272727273,1446.590909090909,,,,ABBN.SW,CHF,True,0.88,True,9052.0,1520.0,1273.0,True,False,,0.10841751595978853,0.12790470829004708,0.11420610761302284
Energy,SU.PA,Schneider Electric,coupling core,0.4108226551519055,0.40636033854484205,0.8050997798724084,2,0.2908364787272699,ABBN.SW,ABB,SU.PA,SU.PA,,,,,,,,,,SU.PA,EUR,False,,False,,,,True,False,,,,
Energy,GEV,GE Vernova,coupling core,0.39780365343718765,0.3145173526193804,0.7410252783781791,5,0.2701969904246302,ENR.DE,Siemens Energy,GEV,GEV,2025.0,4.0,2025-Q4,10956.0,602.0,3664.0,,,,GEV,USD,True,1.0,True,10956.0,602.0,3664.0,True,False,,0.11547543396738733,0.04457815675245746,0.28926711461022925
Energy,VST,Vistra,coupling core,0.39064476955695276,0.3348927030694689,0.7343344199778685,2,0.28514351088717294,GEV,GE Vernova,VST,VST,2025.0,4.0,2025-Q4,4584.0,629.0,233.0,,,,VST,USD,True,1.0,True,4584.0,629.0,233.0,True,False,,0.048315022755248585,0.04657750929783346,0.018394988456381937
Energy,VRT,Vertiv,coupling core,0.36988210115070136,0.2938221089436645,0.7182129365400517,2,0.3140486929729453,GEV,GE Vernova,VRT,VRT,2025.0,4.0,2025-Q4,2880.0,606.9,445.6,,,,VRT,USD,True,1.0,True,2880.0,606.9,445.6,True,False,,0.030354988118480784,0.044941002214396064,0.03517942856722657
Energy,CEG,Constellation Energy,coupling core,0.31409865989216107,0.24212672416445416,0.7193834256581881,2,0.26339265792880245,VST,Vistra,CEG,CEG,2025.0,4.0,2025-Q4,6074.0,806.0,432.0,,,,CEG,USD,True,1.0,True,6074.0,806.0,432.0,True,False,,0.06401951313599037,0.05968437598418723,0.0341057296702017
Energy,ENR.DE,Siemens Energy,partial / bridge,0.38672298010920736,0.3522780819374104,0.7410252783781791,1,0.2994976396326842,GEV,GE Vernova,ENR.DE,ENR.DE,2025.0,4.0,2025-Q4,10516.304347826086,956.5217391304348,735.8695652173913,,,,ENR.DE,EUR,True,0.92,True,9675.0,880.0,677.0,True,False,,0.11084107414187107,0.07083052495695971,0.058095760332947236
Energy,NEE,NextEra Energy,partial / bridge,0.3127376138496193,0.2898120183607214,0.5982401543331874,0,0.23256207693587996,SO,Southern Company,NEE,NEE,2025.0,4.0,2025-Q4,6500.0,1523.0,1535.0,,,,NEE,USD,True,1.0,True,6500.0,1523.0,1535.0,True,False,,0.06850952179518233,0.11277829357806099,0.12118586815685095
Energy,SO,Southern Company,partial / bridge,0.29264009338199254,0.23839951928373065,0.6309260374490571,0,0.16746358063981084,D,Dominion Energy,SO,SO,2025.0,4.0,2025-Q4,6981.0,917.0,416.0,,,,SO,USD,True,1.0,True,6981.0,917.0,416.0,True,False,,0.07357922640802582,0.06790393644851078,0.032842554497231266
Energy,D,Dominion Energy,partial / bridge,0.28407502310174104,0.2795847167114585,0.6309260374490571,0,0.16855576772427525,SO,Southern Company,D,D,2025.0,4.0,2025-Q4,4093.0,1047.0,567.0,,,,D,USD,True,1.0,True,4093.0,1047.0,567.0,True,False,,0.04313991887810481,0.07753044870402485,0.044763770192139736
Energy,IBE.MC,Iberdrola,partial / bridge,0.2674728757946971,0.2684355019180626,0.5818895715637666,0,0.0792283644296859,RWE.DE,RWE,IBE.MC,IBE.MC,2025.0,4.0,2025-Q4,11100.86956521739,2728.804347826087,1063.0434782608695,,,,IBE.MC,EUR,True,0.92,True,10212.8,2510.5,978.0,True,False,,0.11700234852672876,0.20206821920959928,0.08392563309545406
Energy,RWE.DE,RWE,partial / bridge,0.2585357689756547,0.26055254899485975,0.5818895715637666,0,0.16114753433232643,IBE.MC,Iberdrola,RWE.DE,RWE.DE,2025.0,4.0,2025-Q4,4742.391304347826,-1032.6086956521738,903.2608695652174,,,,RWE.DE,EUR,True,0.92,True,4363.0,-950.0,831.0,True,False,,0.04998445545023085,,0.07131104407190422
Energy,2308.TW,Delta Electronics,partial / bridge,0.25746989343857013,0.1881199729499477,0.5580340764328695,0,0.13108062918306856,ABBN.SW,ABB,2308.TW,2308.TW,2025.0,4.0,2025-Q4,4972.710738461538,814.9526153846153,533.0365846153845,,,,2308.TW,TWD,True,32.5,True,161613.099,26485.96,17323.689,True,False,,0.05241200534119507,0.06034731799740956,0.042082411248194215
Energy,BEPC,Brookfield Renewable,weakly coupled,0.3275371289830526,0.33632981867917655,0.5462281083554821,0,0.207372918611835,NEE,NextEra Energy,BEPC,BEPC,2025.0,4.0,2025-Q4,938.0,198.0,-706.0,,,,BEPC,USD,True,1.0,True,938.0,198.0,-706.0,True,False,,0.009886450991366312,0.01466191866609066,
Energy,EQIX,Equinix,weakly coupled,0.3151564879334958,0.29416659417546964,0.4003961760897368,0,0.19781751713848603,SU.PA,Schneider Electric,EQIX,EQIX,2025.0,4.0,2025-Q4,2420.0,507.0,265.0,,,,EQIX,USD,True,1.0,True,2420.0,507.0,265.0,True,False,,0.025506621960667882,0.03754339779650487,0.020921338802322803
Energy,BE,Bloom Energy,weakly coupled,0.3023052394055818,0.2624259891619829,0.504372901332454,0,0.22403629603286143,ABBN.SW,ABB,BE,BE,2025.0,4.0,2025-Q4,777.683,87.529,1.092,,,,BE,USD,True,1.0,True,777.683,87.529,1.092,True,False,,0.008196721605883504,0.006481530701637623,8.621170555523208e-05
Energy,6501.T,Hitachi,weakly coupled,0.25759920013082854,0.26958848463663704,0.4906897012376861,0,0.18833088069866466,CEG,Constellation Energy,6501.T,6501.T,,,,,,,,,,6501.T,JPY,False,,False,,,,True,False,,,,
HW equipment,LRCX,Lam Research,coupling core,0.7107931849744413,0.6810176162149463,0.8757344649233803,9,0.2942266496049237,AMAT,Applied Materials,LRCX,LRCX,2025.0,4.0,2025-Q4,5344.791,1810.203,1593.994,,,,LRCX,USD,True,1.0,True,5344.791,1810.203,1593.994,True,False,,0.19354730910715348,0.2023720300003718,0.2032122714201157
HW equipment,AMAT,Applied Materials,coupling core,0.7031749491664037,0.6900280060869917,0.8757344649233803,9,0.2944989715934898,LRCX,Lam Research,AMAT,AMAT,2025.0,4.0,2025-Q4,6800.0,1893.0,1897.0,,,,AMAT,USD,True,1.0,True,6800.0,1893.0,1897.0,True,False,,0.24624381045557134,0.21162833825305993,0.2418413613125015
HW equipment,KLAC,KLA,coupling core,0.6816980326209651,0.7041679754922904,0.8327716772374361,8,0.2871298565764842,AMAT,Applied Materials,KLAC,KLAC,2025.0,4.0,2025-Q4,3297.146,1362.146,1145.682,,,,KLAC,USD,True,1.0,True,3297.146,1362.146,1145.682,True,False,,0.1193973227453449,0.15228140223880218,0.14605866869332068
HW equipment,8035.T,Tokyo Electron,coupling core,0.6724665070908039,0.6719543901941548,0.7845962487583845,7,0.285952924196099,LRCX,Lam Research,8035.T,8035.T,,,,,,,,,,8035.T,JPY,False,,False,,,,True,False,,,,
HW equipment,MKSI,MKS Instruments,coupling core,0.6503968476798605,0.6260709876152598,0.8228212766807403,5,0.27070161144117766,LRCX,Lam Research,MKSI,MKSI,2025.0,4.0,2025-Q4,1033.0,156.0,107.0,,,,MKSI,USD,True,1.0,True,1033.0,156.0,107.0,True,False,,0.03740733179420665,0.01744005323163093,0.01364102565125865
HW equipment,ASML,ASML,coupling core,0.6475166940218349,0.629095840838709,0.7897952975467083,5,0.2768051713891881,LRCX,Lam Research,ASML,ASML,2025.0,4.0,2025-Q4,9718.1,3431.1,2839.6,,,,ASML,USD,True,1.0,True,9718.1,3431.1,2839.6,True,False,,0.35191499623357175,0.3835805554041595,0.3620098732646174
HW equipment,ASM.AS,ASM International,coupling core,0.6458218847528041,0.6354903928513191,0.7654677566874785,6,0.2734227505846066,ASML,ASML,ASM.AS,ASM.AS,2025.0,4.0,2025-Q4,759.0217391304348,185.32608695652172,180.43478260869566,,,,ASM.AS,EUR,True,0.92,True,698.3,170.5,166.0,True,False,,0.02748594195030778,0.020718569370074366,0.02300294857892052
HW equipment,7735.T,Screen Holdings,coupling core,0.623051691319576,0.646815715295148,0.7714048554499976,6,0.2629720898378093,8035.T,Tokyo Electron,7735.T,7735.T,,,,,,,,,,7735.T,JPY,False,,False,,,,True,False,,,,
HW equipment,ONTO,Onto Innovation,coupling core,0.6196083760236988,0.6155481608732848,0.7163967993557295,3,0.2547623026718691,AMAT,Applied Materials,ONTO,ONTO,2025.0,4.0,2025-Q4,266.866,20.861,10.529,,,,ONTO,USD,True,1.0,True,266.866,20.861,10.529,True,False,,0.009663838341328897,0.002332159938878544,0.0013423024213280591
HW equipment,6146.T,Disco,coupling core,0.6007431115070624,0.5881411729651742,0.6993279147249203,3,0.2435489370823921,7735.T,Screen Holdings,6146.T,6146.T,,,,,,,,,,6146.T,JPY,False,,False,,,,True,False,,,,
HW equipment,BESI.AS,BE Semiconductor Industries,coupling core,0.5929476507324201,0.6052200758959277,0.7065036936378222,3,0.26100339851969473,ASM.AS,ASM International,BESI.AS,BESI.AS,2025.0,4.0,2025-Q4,180.8195652173913,61.096739130434784,46.52717391304348,,,,BESI.AS,EUR,True,0.92,True,166.354,56.209,42.805,True,False,,0.006547896874125018,0.0068303229661144296,0.005931573577835499
HW equipment,6857.T,Advantest,coupling core,0.5754372224500084,0.5653953151535145,0.6891368837917388,2,0.2468424094816787,6146.T,Disco,6857.T,6857.T,,,,,,,,,,6857.T,JPY,False,,False,,,,True,False,,,,
HW equipment,6920.T,Lasertec,coupling core,0.5500369651542392,0.5705805869902506,0.6031892405361314,0,0.23462329815968944,ASML,ASML,6920.T,6920.T,,,,,,,,,,6920.T,JPY,False,,False,,,,True,False,,,,
HW equipment,FORM,FormFactor,coupling core,0.5417174053841755,0.5598559834419201,0.6165967420950204,0,0.2456657531476902,AMAT,Applied Materials,FORM,FORM,2025.0,4.0,2025-Q4,215.163,25.194,23.218,,,,FORM,USD,True,1.0,True,215.163,25.194,23.218,True,False,,0.007791552498390014,0.002816568596908395,0.0029599750801020874
